challengeID,cm1ethrace,cf1ethrace,cm1edu,cf1edu,cm1relf
1,1,1,4,3,1
2,4,1,1,4,3
3,3,3,1,3,1
4,2,2,4,4,2
5,1,1,2,2,3
6,3,3,2,2,2
7,2,3,3,1,2
8,2,2,1,1,3
9,3,3,2,2,1
10,1,1,2,1,2
11,2,2,4,4,3
12,1,1,3,3,1
13,2,2,1,1,1
14,2,2,3,3,1
15,3,3,2,1,1
16,2,2,2,2,3
17,2,2,2,1,2
18,2,2,1,1,2
19,1,1,1,1,3
20,1,1,3,4,1
21,2,2,1,1,2
22,1,1,1,1,1
23,1,1,3,2,2
24,2,2,3,2,2
25,4,1,3,4,2
26,2,2,3,1,3
27,2,2,2,2,2
28,2,2,1,1,1
29,2,2,2,1,3
30,2,2,3,3,1
31,2,2,2,2,2
32,2,2,1,2,2
33,1,1,4,3,1
34,3,1,4,2,3
35,2,2,3,1,3
36,2,1,3,1,6
37,2,2,1,2,1
38,2,2,1,1,2
39,2,3,2,2,2
40,2,2,1,2,3
41,3,3,1,3,1
42,2,2,3,2,3
43,1,2,3,2,3
44,3,4,1,1,5
45,2,2,3,3,5
46,2,2,2,2,2
47,1,1,4,3,1
48,3,3,1,1,2
49,3,3,2,2,2
50,2,2,1,1,4
51,2,2,3,3,1
52,1,1,3,2,1
53,2,2,2,1,4
54,1,1,3,3,2
55,2,2,1,1,2
56,3,3,2,2,4
57,3,1,3,3,2
58,2,2,2,2,2
59,3,3,1,1,2
60,2,2,3,3,2
61,1,1,3,4,2
62,3,3,1,1,2
63,3,3,1,1,2
64,1,1,4,4,1
65,2,2,1,1,6
66,2,2,3,3,3
67,2,2,3,2,2
68,3,3,4,1,6
69,3,3,3,3,2
70,1,1,4,4,1
71,3,4,1,1,4
72,1,1,3,2,2
73,2,2,1,1,2
74,3,3,1,1,2
75,1,1,2,2,2
76,2,2,2,1,2
77,1,3,2,2,2
78,2,2,3,4,1
79,2,2,1,2,3
80,4,1,3,3,2
81,2,2,3,3,3
82,3,3,1,1,2
